t (s),V (mV)
0,14.774
0.969,14.773
1.901,14.7619
2.864,14.7534
3.828,14.7414
4.828,14.7282
5.828,14.7165
6.827,14.7008
7.827,14.6856
8.827,14.6707
9.827,14.6555
10.827,14.641
11.827,14.6255
12.827,14.6101
13.827,14.5934
14.827,14.5757
15.827,14.557
16.827,14.5372
17.827,14.5201
18.827,14.5037
19.827,14.4845
20.827,14.469
21.827,14.4491
22.827,14.4325
23.827,14.416
24.827,14.3984
25.828,14.3816
26.827,14.3643
27.827,14.349
28.827,14.3319
29.827,14.3154
30.827,14.3001
31.827,14.2848
32.827,14.2687
33.828,14.2532
34.827,14.2369
35.827,14.2209
36.828,14.2049
37.827,14.1884
38.828,14.1727
39.827,14.1554
40.828,14.1393
41.828,14.1245
42.828,14.1084
43.828,14.0926
44.828,14.0772
45.827,14.0608
46.827,14.0446
47.827,14.0289
48.827,14.0134
49.827,13.9982
50.827,13.9825
51.828,13.9679
52.828,13.9521
53.827,13.9362
54.828,13.9222
55.828,13.9073
56.827,13.8929
57.828,13.8798
58.828,13.8647
59.828,13.8506
60.828,13.8373
61.828,13.8239
62.827,13.808
63.827,13.7937
64.828,13.781
65.828,13.7669
66.828,13.7538
67.828,13.7402
68.828,13.7273
69.827,13.7143
70.827,13.7016
71.827,13.6881
72.827,13.6745
73.828,13.6609
74.828,13.6467
75.828,13.6328
76.827,13.6207
77.827,13.6065
78.828,13.5923
79.828,13.5788
80.828,13.5639
81.828,13.5502
82.827,13.5384
83.827,13.5253
84.827,13.5129
85.827,13.4979
86.828,13.4857
87.827,13.4717
88.827,13.4578
89.828,13.4436
90.827,13.4299
91.827,13.4179
92.828,13.4046
93.827,13.3907
94.827,13.3793
95.827,13.3665
96.827,13.3524
97.827,13.3403
98.827,13.3269
99.827,13.3129
100.827,13.3007
101.827,13.2947
102.827,13.291
103.827,13.2821
104.827,13.2713
105.827,13.2623
106.828,13.2481
107.827,13.2145
108.828,13.198
109.827,13.1831
110.828,13.181
111.827,13.1718
112.827,13.1582
113.827,13.1292
114.827,13.1041
115.828,13.0899
116.828,13.0785
117.828,13.0629
118.828,13.0409
119.827,13.0261
120.828,13.021
121.828,13.0171
122.827,13.0093
123.827,12.9961
124.828,12.9798
125.828,12.9653
126.828,12.945
127.827,12.9263
128.827,12.9145
129.827,12.9086
130.828,12.9062
131.828,12.9106
132.827,12.91
133.827,12.8953
134.827,12.8875
135.828,12.8814
136.827,12.8667
137.827,12.8555
138.827,12.841
139.828,12.8254
140.828,12.8102
141.827,12.7993
142.827,12.7893
143.828,12.779
144.828,12.7615
145.828,12.7415
146.828,12.7207
147.828,12.6951
148.827,12.6744
149.827,12.6592
150.827,12.642
151.827,12.6269
152.828,12.6147
153.828,12.6025
154.828,12.5918
155.827,12.5824
156.827,12.5673
157.827,12.5566
158.827,12.546
159.827,12.5347
160.827,12.5223
161.827,12.5091
162.828,12.4937
163.827,12.4829
164.828,12.4708
165.828,12.4602
166.827,12.4479
167.828,12.4358
168.828,12.4237
169.827,12.417
170.828,12.4094
171.828,12.4043
172.827,12.4032
173.827,12.3975
174.828,12.3892
175.828,12.3805
176.827,12.375
177.828,12.3654
178.827,12.3545
179.827,12.3422
180.828,12.3257
181.827,12.3114
182.828,12.2973
183.827,12.2821
184.828,12.2696
185.828,12.256
186.828,12.2438
187.828,12.2322
188.828,12.2186
189.828,12.2042
190.827,12.1904
191.827,12.1778
192.827,12.1662
193.828,12.1549
194.828,12.1452
195.828,12.1358
196.828,12.1259
197.828,12.1177
198.828,12.1084
199.828,12.0968
200.827,12.0845
201.827,12.0716
202.827,12.0597
203.827,12.0491
204.827,12.0362
205.828,12.0255
206.828,12.0147
207.828,12.0031
208.827,11.9945
209.827,11.9838
210.827,11.9722
211.827,11.9585
212.827,11.9476
213.828,11.9356
214.828,11.9234
215.828,11.9115
216.827,11.9005
217.827,11.8909
218.828,11.8808
219.828,11.8709
220.827,11.8621
221.827,11.8531
222.828,11.8452
223.827,11.8378
224.827,11.8287
225.828,11.8205
226.827,11.8123
227.827,11.8034
228.827,11.7958
229.827,11.7868
230.828,11.7793
231.827,11.7691
232.827,11.7609
233.827,11.7532
234.828,11.744
235.827,11.7358
236.827,11.7283
237.828,11.722
238.828,11.713
239.827,11.706
240.827,11.6993
241.827,11.6928
242.827,11.6852
243.827,11.6789
244.828,11.6715
245.828,11.6633
246.828,11.6552
247.827,11.6423
248.827,11.6296
249.827,11.618
250.828,11.6089
251.828,11.6006
252.827,11.5909
253.827,11.5836
254.827,11.5739
255.828,11.5655
256.828,11.5576
257.828,11.548
258.828,11.5384
259.827,11.5273
260.827,11.517
261.827,11.508
262.827,11.4968
263.828,11.4875
264.827,11.4759
265.828,11.4649
266.828,11.454
267.828,11.4442
268.827,11.4368
269.827,11.4279
270.828,11.4184
271.828,11.4089
272.827,11.4011
273.827,11.3918
274.827,11.3838
275.828,11.3753
276.828,11.3668
277.827,11.3579
278.828,11.3488
279.828,11.3409
280.827,11.3313
281.828,11.3255
282.828,11.3168
283.828,11.3077
284.827,11.3008
285.828,11.2947
286.828,11.2847
287.828,11.2763
288.828,11.2678
289.827,11.2537
290.828,11.2397
291.827,11.2276
292.827,11.2141
293.827,11.204
294.827,11.1932
295.827,11.1831
296.827,11.1755
297.828,11.164
298.828,11.1536
299.827,11.139
300.827,11.1324
301.827,11.1227
302.828,11.1104
303.827,11.0999
304.828,11.0902
305.828,11.0803
306.828,11.0693
307.827,11.0544
308.827,11.0493
309.827,11.0404
310.828,11.0324
311.827,11.0227
312.828,11.0153
313.827,11.0069
314.827,10.9993
315.827,10.9914
316.828,10.983
317.828,10.9743
318.828,10.9658
319.827,10.9605
320.828,10.9519
321.827,10.9452
322.827,10.9376
323.828,10.9266
324.827,10.918
325.827,10.9063
326.828,10.8975
327.827,10.8881
328.828,10.8811
329.828,10.8744
330.827,10.8627
331.827,10.8542
332.828,10.8434
333.827,10.8331
334.828,10.8235
335.828,10.8117
336.827,10.8003
337.827,10.7896
338.828,10.7804
339.828,10.7707
340.827,10.7608
341.827,10.751
342.827,10.7409
343.827,10.7318
344.827,10.7229
345.828,10.7142
346.828,10.7061
347.827,10.6969
348.827,10.6883
349.827,10.6785
350.828,10.6689
351.827,10.6573
352.827,10.6493
353.828,10.6381
354.828,10.629
355.827,10.6187
356.827,10.6087
357.827,10.5977
358.827,10.5887
359.826,10.5797
360.827,10.5702
361.827,10.5624
362.827,10.5503
363.826,10.539
364.826,10.5281
365.826,10.5157
366.826,10.507
367.827,10.4951
368.826,10.4845
369.826,10.4733
370.827,10.4635
371.826,10.4546
372.826,10.4454
373.827,10.4349
374.826,10.4248
375.826,10.4157
376.826,10.4061
377.826,10.3969
378.826,10.3816
379.826,10.3768
380.826,10.3685
381.826,10.3599
382.826,10.3492
383.826,10.3404
384.826,10.331
385.826,10.3221
386.826,10.3116
387.826,10.3032
388.827,10.293
389.827,10.283
390.827,10.2745
391.826,10.2643
392.826,10.2564
393.826,10.2472
394.826,10.2382
395.827,10.2328
396.826,10.2241
397.827,10.2157
398.826,10.2069
399.827,10.1968
400.826,10.1874
401.827,10.1771
402.826,10.1689
403.827,10.1608
404.827,10.152
405.827,10.1427
406.826,10.1338
407.826,10.1251
408.826,10.1162
409.826,10.1061
410.826,10.0978
411.826,10.0879
412.826,10.0782
413.826,10.0696
414.826,10.0613
415.826,10.0515
416.826,10.0431
417.826,10.0329
418.826,10.0271
419.826,10.0167
420.826,10.0107
421.826,10.0069
422.827,9.9979
423.828,9.9913
424.828,9.9842
425.828,9.9757
426.828,9.9692
427.828,9.9605
428.827,9.9525
429.827,9.9445
430.827,9.9354
431.827,9.9284
432.827,9.9192
433.827,9.9089
434.828,9.9028
435.828,9.8933
436.827,9.8869
437.827,9.8779
438.827,9.8696
439.828,9.8632
440.827,9.8549
441.828,9.8474
442.827,9.8402
443.827,9.8331
444.827,9.8248
445.828,9.818
446.827,9.8083
447.828,9.8036
448.828,9.7949
449.828,9.7883
450.827,9.7793
451.828,9.7747
452.828,9.7655
453.828,9.758
454.828,9.7515
455.828,9.7444
456.828,9.7349
457.828,9.7287
458.828,9.7228
459.827,9.7139
460.827,9.7058
461.827,9.6986
462.828,9.692
463.828,9.6844
464.828,9.6773
465.828,9.6703
466.827,9.664
467.827,9.6553
468.827,9.648
469.827,9.6406
470.827,9.6362
471.827,9.6275
472.827,9.6161
473.828,9.6098
474.828,9.6004
475.828,9.5926
476.827,9.5839
477.828,9.576
478.827,9.5714
479.827,9.5602
480.827,9.5517
481.827,9.5444
482.828,9.5361
483.827,9.5272
484.827,9.5201
485.827,9.5112
486.827,9.5042
487.828,9.4961
488.828,9.489
489.828,9.4822
490.828,9.4738
491.827,9.4658
492.828,9.4584
493.827,9.4507
494.828,9.4437
495.827,9.4367
496.827,9.4299
497.828,9.4214
498.828,9.4141
499.827,9.4062
500.828,9.3974
501.828,9.3883
502.827,9.3795
503.827,9.3716
504.827,9.3625
505.827,9.3544
506.827,9.3463
507.828,9.3381
508.828,9.3281
509.827,9.3213
510.828,9.3134
511.827,9.3067
512.827,9.2995
513.827,9.2924
514.828,9.285
515.828,9.2773
516.828,9.2698
517.827,9.2622
518.827,9.256
519.828,9.2487
520.827,9.2414
521.827,9.2332
522.827,9.2253
523.828,9.2174
524.827,9.2097
525.827,9.2036
526.827,9.1956
527.828,9.1881
528.828,9.1792
529.827,9.1701
530.827,9.164
531.828,9.1566
532.828,9.1481
533.827,9.1406
534.827,9.1336
535.828,9.1264
536.828,9.118
537.827,9.1111
538.828,9.1029
539.828,9.0971
540.827,9.0877
541.827,9.0834
542.827,9.0756
543.827,9.0681
544.827,9.0598
545.827,9.0512
546.827,9.0448
547.828,9.0367
548.827,9.0286
549.828,9.0206
550.828,9.0133
551.828,9.0058
552.828,8.9982
553.827,8.9914
