t (s),V (mV)
0,17.3022
0.968,17.2666
1.901,17.2274
2.863,17.1825
3.848,17.1318
4.848,17.0816
5.847,17.0292
6.848,16.9747
7.847,16.9177
8.847,16.8599
9.848,16.8002
10.847,16.7398
11.848,16.6816
12.848,16.6221
13.848,16.5619
14.847,16.5022
15.847,16.4434
16.847,16.3834
17.847,16.3253
18.847,16.2704
19.848,16.2183
20.847,16.1633
21.848,16.1101
22.847,16.056
23.847,16.0007
24.848,15.9458
25.848,15.8904
26.847,15.8361
27.847,15.782
28.847,15.7304
29.847,15.6754
30.847,15.6209
31.847,15.5663
32.847,15.5108
33.847,15.4546
34.848,15.3997
35.848,15.3463
36.847,15.2923
37.847,15.2393
38.847,15.1873
39.847,15.1362
40.847,15.0842
41.848,15.0304
42.848,14.9767
43.848,14.9226
44.847,14.8679
45.847,14.8138
46.848,14.7584
47.847,14.7043
48.848,14.6515
49.848,14.5988
50.847,14.5463
51.848,14.4949
52.847,14.4453
53.848,14.3949
54.847,14.3438
55.847,14.2948
56.852,14.2467
57.848,14.1965
58.848,14.149
59.848,14.1016
60.847,14.0526
61.847,14.0056
62.847,13.9584
63.848,13.9113
64.847,13.8632
65.847,13.816
66.847,13.7683
67.848,13.7212
68.848,13.6731
69.848,13.6254
70.847,13.5794
71.847,13.5312
72.847,13.4845
73.848,13.4376
74.848,13.391
75.847,13.3429
76.847,13.2975
77.847,13.2509
78.848,13.2044
79.847,13.1581
80.847,13.113
81.848,13.0682
82.848,13.0228
83.847,12.9775
84.847,12.9307
85.847,12.8856
86.848,12.8411
87.847,12.7955
88.848,12.7501
89.848,12.7052
90.847,12.6601
91.848,12.6155
92.847,12.5709
93.847,12.5271
94.848,12.4823
95.848,12.4379
96.847,12.3943
97.848,12.3499
98.847,12.3063
99.848,12.2632
100.847,12.2195
101.847,12.1766
102.848,12.1346
103.847,12.092
104.848,12.0501
105.847,12.0076
106.848,11.9659
107.847,11.9244
108.848,11.8833
109.847,11.8413
110.847,11.8002
111.848,11.7604
112.847,11.7192
113.848,11.6795
114.848,11.6387
115.848,11.5976
116.848,11.5577
117.847,11.5171
118.848,11.4769
119.847,11.4377
120.847,11.3983
121.848,11.3594
122.847,11.3199
123.848,11.2809
124.847,11.2419
125.848,11.2029
126.848,11.164
127.847,11.1243
128.847,11.0862
129.848,11.046
130.848,11.0081
131.847,10.9695
132.847,10.9316
133.848,10.8928
134.848,10.8556
135.847,10.8195
136.848,10.7812
137.848,10.744
138.847,10.7065
139.848,10.6696
140.847,10.6333
141.847,10.5955
142.847,10.5588
143.847,10.5212
144.847,10.485
