t (s),V (mV)
0,8.9509
0.968,8.9433
1.901,8.9242
2.862,8.9008
3.838,8.874
4.838,8.848
5.839,8.8181
6.839,8.7871
7.838,8.7578
8.838,8.7277
9.839,8.6972
10.838,8.6659
11.838,8.6347
12.839,8.6027
13.838,8.5715
14.838,8.5401
15.838,8.5078
16.838,8.4775
17.838,8.4452
18.839,8.4139
19.838,8.3826
20.838,8.3508
21.838,8.3192
22.838,8.2879
23.838,8.2569
24.838,8.2266
25.839,8.1965
26.839,8.1656
27.839,8.1352
28.838,8.1055
29.838,8.0752
30.838,8.045
31.838,8.0146
32.838,7.985
33.839,7.955
34.839,7.9249
35.839,7.8947
36.839,7.8642
37.839,7.8348
38.839,7.8057
39.838,7.7758
40.838,7.7466
41.838,7.7169
42.839,7.688
43.838,7.6583
44.838,7.6297
45.839,7.5999
46.838,7.5714
47.839,7.5428
48.838,7.5142
49.839,7.4868
50.838,7.4581
51.839,7.4293
52.839,7.4011
53.838,7.3714
54.838,7.3431
55.838,7.3154
56.839,7.2872
57.839,7.2589
58.838,7.2313
59.838,7.2032
60.838,7.176
61.838,7.149
62.839,7.1209
63.838,7.0955
64.838,7.0663
65.838,7.0393
66.839,7.0113
67.838,6.985
68.838,6.9573
69.838,6.9302
70.839,6.9035
71.839,6.8767
72.839,6.8502
73.838,6.8227
74.838,6.7946
75.838,6.7694
76.838,6.7433
77.839,6.7165
78.839,6.6902
79.838,6.6646
80.838,6.6377
81.838,6.6113
82.838,6.5854
83.838,6.5588
84.838,6.5322
85.839,6.5052
86.838,6.4801
87.838,6.4538
88.838,6.4281
89.838,6.4024
90.839,6.3776
91.839,6.3524
92.838,6.3263
93.838,6.3012
94.838,6.2748
95.839,6.2498
96.838,6.2255
97.838,6.2006
98.838,6.1766
99.838,6.1524
100.838,6.1285
101.838,6.1037
102.838,6.0795
103.838,6.0562
104.838,6.0322
105.838,6.0086
106.838,5.9842
107.838,5.9606
108.838,5.9362
109.839,5.9122
110.838,5.8879
111.838,5.8642
112.838,5.8402
113.838,5.8165
114.839,5.7927
115.838,5.7693
116.838,5.7455
117.838,5.7224
118.838,5.6992
119.839,5.675
120.838,5.6525
121.838,5.6282
122.839,5.6051
123.838,5.5819
124.838,5.5586
125.838,5.5349
126.838,5.5115
127.839,5.4885
128.838,5.466
129.838,5.4449
