t (s),V (mV)
0,13.3741
0.969,13.3695
1.901,13.3582
2.869,13.3421
3.87,13.3249
4.87,13.3066
5.869,13.2858
6.869,13.2652
7.869,13.2441
8.87,13.2222
9.869,13.2001
10.87,13.1775
11.869,13.1556
12.87,13.1332
13.87,13.1103
14.87,13.0872
15.869,13.0645
16.87,13.0418
17.87,13.02
18.87,12.9982
19.869,12.976
20.87,12.9533
21.87,12.9308
22.869,12.909
23.869,12.8871
24.87,12.865
25.869,12.8426
26.869,12.8208
27.87,12.799
28.869,12.7771
29.869,12.7547
30.87,12.7334
31.869,12.7112
32.87,12.6891
33.87,12.6676
34.869,12.6465
35.87,12.6242
36.87,12.6039
37.869,12.5827
38.87,12.5598
39.869,12.538
40.869,12.517
41.869,12.4943
42.869,12.4734
43.869,12.453
44.869,12.4316
45.87,12.4105
46.869,12.3906
47.87,12.3696
48.869,12.3484
49.87,12.3279
50.869,12.3072
51.87,12.2867
52.869,12.2666
53.869,12.2466
54.869,12.2262
55.87,12.2063
56.869,12.1864
57.87,12.1666
58.869,12.1468
59.869,12.1284
60.87,12.1068
61.87,12.0877
62.87,12.0675
63.869,12.0481
64.869,12.0273
65.87,12.007
66.87,11.9879
67.87,11.9662
68.869,11.947
69.869,11.927
70.869,11.907
71.869,11.8876
72.869,11.8668
73.87,11.8475
74.87,11.8293
75.869,11.8093
76.87,11.7904
77.87,11.7706
78.869,11.7513
79.869,11.7319
80.87,11.713
81.869,11.6939
82.869,11.6741
83.87,11.6552
84.869,11.6355
85.869,11.6155
86.87,11.5962
87.87,11.5779
88.869,11.5601
89.87,11.5408
90.869,11.5213
91.869,11.5029
92.87,11.4849
93.869,11.4659
94.869,11.4482
95.87,11.4296
96.869,11.4118
97.869,11.3954
98.87,11.377
99.87,11.3593
100.869,11.3416
101.87,11.3224
102.87,11.3044
103.869,11.2871
104.869,11.2682
105.87,11.2509
106.87,11.2322
107.87,11.2152
108.87,11.1974
109.87,11.1799
110.869,11.1623
111.869,11.1444
112.87,11.1266
113.87,11.108
114.87,11.0912
115.87,11.0739
116.869,11.0548
117.869,11.0383
118.87,11.0203
119.869,11.0031
120.869,10.9849
121.87,10.9692
122.87,10.9518
123.869,10.9349
124.869,10.9182
125.869,10.901
126.869,10.8855
127.87,10.8686
128.87,10.8511
129.87,10.8341
130.869,10.8171
131.87,10.8016
132.869,10.7853
133.869,10.7686
134.87,10.752
135.869,10.7358
136.87,10.7191
137.869,10.7014
138.87,10.6858
139.869,10.6695
140.87,10.6538
141.87,10.6365
142.869,10.6213
143.869,10.605
144.868,10.5892
145.869,10.573
146.868,10.5588
147.868,10.5428
148.868,10.5269
149.868,10.5102
150.868,10.4954
151.869,10.4794
152.868,10.465
153.868,10.4497
154.869,10.4341
155.868,10.4188
156.868,10.4037
157.869,10.3884
158.869,10.3738
159.869,10.3591
160.868,10.3436
161.868,10.3291
162.869,10.3131
163.868,10.299
164.868,10.284
165.868,10.269
166.869,10.2555
167.868,10.2409
168.868,10.2264
169.869,10.2119
170.868,10.1968
171.869,10.1785
172.869,10.1662
173.868,10.1531
174.868,10.1402
175.868,10.1259
176.868,10.112
177.868,10.0983
178.868,10.0851
179.869,10.0717
180.869,10.0586
181.869,10.0436
182.869,10.0302
183.868,10.0162
184.868,10.0025
185.87,9.989
186.869,9.9752
187.87,9.9611
188.87,9.9471
189.87,9.9326
190.869,9.919
191.869,9.9058
192.87,9.8925
193.869,9.8776
194.87,9.8647
195.869,9.8507
196.869,9.8374
197.869,9.8241
198.869,9.8104
199.869,9.7969
200.869,9.7836
201.869,9.7701
202.87,9.7577
203.869,9.7438
204.87,9.7315
205.869,9.7184
206.869,9.7045
207.87,9.6912
208.869,9.6743
209.869,9.664
210.87,9.6523
211.87,9.6397
212.869,9.6258
213.87,9.6127
214.869,9.5992
215.869,9.5844
216.869,9.5703
217.87,9.556
218.869,9.5431
219.869,9.5292
220.87,9.514
221.87,9.4999
222.869,9.4865
223.869,9.4721
224.87,9.4582
225.87,9.4457
226.869,9.431
227.869,9.4174
228.869,9.3981
229.869,9.3858
230.87,9.3751
231.869,9.3629
232.87,9.3501
233.869,9.3366
234.869,9.3237
235.869,9.3097
236.869,9.2968
237.87,9.282
238.869,9.2698
239.87,9.2562
240.869,9.2439
241.869,9.2323
242.87,9.2163
243.869,9.2053
244.869,9.1911
245.87,9.1779
246.87,9.1655
247.869,9.1527
248.869,9.1412
249.87,9.1279
250.87,9.115
251.87,9.1023
252.869,9.0901
253.869,9.0777
254.87,9.0659
255.869,9.0527
256.869,9.0412
257.87,9.0299
258.87,9.0167
259.869,9.0037
260.869,8.9902
261.87,8.9794
262.869,8.9692
263.869,8.9551
264.87,8.9422
265.869,8.9316
266.869,8.9192
267.869,8.9072
268.869,8.8951
269.87,8.8833
270.869,8.8712
271.869,8.8584
272.869,8.8472
273.87,8.8363
274.87,8.8242
275.87,8.8115
276.87,8.8006
277.869,8.7889
278.869,8.777
279.869,8.7652
280.869,8.7529
281.87,8.7403
282.869,8.7296
283.87,8.7167
284.869,8.7051
285.87,8.6925
286.869,8.6808
287.87,8.6688
288.869,8.656
289.87,8.6449
290.869,8.6315
291.87,8.619
292.869,8.6064
293.869,8.5943
294.87,8.583
295.869,8.5713
296.87,8.5597
297.869,8.5477
298.869,8.5372
299.869,8.5258
300.869,8.5144
301.869,8.5033
302.87,8.4914
303.869,8.4797
304.869,8.4681
305.87,8.4559
306.869,8.444
307.869,8.4325
308.87,8.4215
309.869,8.4092
310.87,8.3979
311.869,8.3868
312.87,8.3746
